sys.exec.out.time {s},crewModule.dyn.position[0] {m},crewModule.dyn.position[1] {m},crewModule.dyn.position[2] {m},crewModule.dyn.center_of_buoyancy[0] {1},crewModule.dyn.center_of_buoyancy[1] {1},crewModule.dyn.center_of_buoyancy[2] {1},crewModule.dyn.R[0][0] {--},crewModule.dyn.R[0][1] {--},crewModule.dyn.R[0][2] {--},crewModule.dyn.R[1][0] {--},crewModule.dyn.R[1][1] {--},crewModule.dyn.R[1][2] {--},crewModule.dyn.R[2][0] {--},crewModule.dyn.R[2][1] {--},crewModule.dyn.R[2][2] {--}
   9.199999999999999,0,0,  0.7037925272027971,0.001756885,   1.175735992402733,-0.19147331,  0.9999992434540125,0.001083182,-0.00058293,-0.001208943,  0.9529192476079554,-0.303221777,0.000227041,  0.3032222522417893,  0.9529198361926231
   9.300000000000001,0,0,  0.5348384637806483,0.002324922,  0.8803515735753519,-0.184380296,  0.9999992671511562,0.001129242,-0.000436475,-0.001196922,  0.9763222892013452,-0.216317718,0.000181865,  0.2163180815879693,  0.9763229253231328
9.4,0,0,0.310790569,0.000407539,0.476991,-0.243698259,  0.9999992902162237,0.001164951,-0.000249913,-0.001185824,  0.9935016845124328,-0.113811233,0.000115704,  0.1138114482835724,  0.9935023607705047
9.5,0,0,0.066127755,-0.001868198,-0.001868198,-0.287195888,  0.9999992997785295,0.00118204,-5.68E-05,-0.001182,  0.9999990604761703,0.000694207,5.760890315103654e-05,-0.000694139,  0.9999997574259422
9.6,0,0,-0.146027405,-0.000296462,-0.149107319,-0.419552174,  0.9999993007036064,0.0011807,6.737403614089542e-05,-0.001180774,  0.9936340267057207,0.112650019,6.606076857769166e-05,-0.11265002,  0.9936347259981064
   9.699999999999999,0,0,-0.288395185,-0.000248079,-0.232153446,-0.540168063,  0.9999993058505121,0.001170656,0.00013365,-0.001172749,  0.9779388829815399,  0.2088879264726137,0.000113834,-0.208887938,  0.9779395770248898
   9.800000000000001,0,0,-0.341418293,8.413731209329307e-05,-0.273507965,-0.570787923,  0.9999993138579834,0.001159416,0.000167444,-0.001159634,  0.9595051185658713,  0.2816888047331767,0.000165931,-0.281688806,  0.9595058046987245
9.9,0,0,-0.298754924,0.000181035,-0.377688994,-0.607268763,0.999999321,0.001151181,0.000181165,-0.001147243,  0.9451951492350761,  0.3265039260337207,0.000204629,-0.326503912,  0.9451958281032542
10,0,0,-0.17621414,-0.000403366,-0.449120245,-0.548076276,  0.9999993273089551,0.001148658,0.000161143,-0.001135056,  0.9404825016705192,  0.3398402208668453,0.000238808,-0.339840175,  0.9404831727968773
10.1,0,0,0.000875427,-0.00019478,-0.497974289,-0.422809243,  0.9999993331466797,0.001151101,9.312390214635811e-05,-0.001120245,  0.9472710495875625,  0.3204314336670964,0.000280635,-0.320431324,  0.9472717074028908
